finding_id,severity,table,policy,finding,evidence,recommended_decision,migration_required,human_business_decision_required,finding_classification
phase32c_0001,critical,category,category_select_public,literal_true_or_tautology,effective predicate contains a literal-true or simple tautology signal,reject broad predicate unless a documented public-access requirement proves it intentional,true,true,static_risk_signal
phase32c_0002,critical,marketplace_party,marketplace_party_update_own,marketplace_party_approval_policy_gap,marketplace-party write policy does not itself constrain approval columns,"confirm column grants and triggers, then decide whether policy defense-in-depth is required",false,true,layered_control_hypothesis
phase32c_0003,critical,party_capability,party_capability_select,literal_true_or_tautology,effective predicate contains a literal-true or simple tautology signal,reject broad predicate unless a documented public-access requirement proves it intentional,true,true,static_risk_signal
phase32c_0004,critical,product_enrichment_attribute,product_enrichment_attribute_select,literal_true_or_tautology,effective predicate contains a literal-true or simple tautology signal,reject broad predicate unless a documented public-access requirement proves it intentional,true,true,static_risk_signal
phase32c_0005,critical,review,review_select_public,literal_true_or_tautology,effective predicate contains a literal-true or simple tautology signal,reject broad predicate unless a documented public-access requirement proves it intentional,true,true,static_risk_signal
phase32c_0006,critical,service_type,service_type_select_public,literal_true_or_tautology,effective predicate contains a literal-true or simple tautology signal,reject broad predicate unless a documented public-access requirement proves it intentional,true,true,static_risk_signal
phase32c_0007,high,address,address_write_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0008,high,address,address_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0009,high,address,address_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0010,high,address,address_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0011,high,cart,cart_all_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0012,high,cart,cart_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0013,high,cart,cart_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0014,high,cart,cart_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0015,high,cart_line,cart_line_all_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0016,high,cart_line,cart_line_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0017,high,cart_line,cart_line_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0018,high,cart_line,cart_line_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0019,high,category,phase32b_category_authenticated_read_guard,unexpected_admin_branch,an administrator helper appears outside an explicitly named administrator policy,verify that the branch existed in the approved authorization design,false,true,static_risk_signal
phase32c_0020,high,custom_offering,custom_offering_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0021,high,customer_profile,customer_profile_insert_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0022,high,design,design_insert_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0023,high,design_product_reference,design_product_reference_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0024,high,design_version,design_version_insert_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0025,high,furnishing_request,furnishing_request_select,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0026,high,furnishing_request,furnishing_request_write_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0027,high,furnishing_request,furnishing_request_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0028,high,furnishing_request,furnishing_request_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0029,high,furnishing_request,furnishing_request_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0030,high,furnishing_request_design_version,furnishing_request_design_version_select,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0031,high,furnishing_request_design_version,furnishing_request_design_version_write_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0032,high,furnishing_request_design_version,furnishing_request_design_version_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0033,high,furnishing_request_design_version,furnishing_request_design_version_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0034,high,furnishing_request_design_version,furnishing_request_design_version_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0035,high,party_capability,party_capability_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0036,high,payment,payment_select_customer,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0037,high,product,phase32b_product_authenticated_read_guard,unexpected_admin_branch,an administrator helper appears outside an explicitly named administrator policy,verify that the branch existed in the approved authorization design,false,true,static_risk_signal
phase32c_0038,high,product,product_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0039,high,product_3d_model,phase32b_product_3d_model_insert_guard,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0040,high,product_3d_model,product_3d_model_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0041,high,product_color,phase32b_product_color_insert_guard,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0042,high,product_color,product_color_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0043,high,product_enrichment_assignment,phase32b_enrichment_insert_guard,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0044,high,product_enrichment_assignment,product_enrichment_assignment_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0045,high,product_image,phase32b_product_image_insert_guard,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0046,high,product_image,product_image_write_own,owner_only_insert_or_state_transition_risk,ownership-only INSERT or UPDATE state-transition signal requires review,define allowed initial state and transition rules before remediation,false,true,business_semantics_hypothesis
phase32c_0047,high,refund,refund_select_customer,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0048,high,review,review_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0049,high,review,review_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0050,high,review,review_write_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0051,high,saved_space,saved_space_all_own,possible_cross_principal_read,client-targeted private-table read has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0052,high,saved_space,saved_space_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0053,high,saved_space,saved_space_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0054,high,saved_space,saved_space_all_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0055,high,service_request,service_request_insert_own,possible_cross_principal_write,client-targeted write policy has no recognized principal ownership or admin anchor,prove customer or seller isolation from the complete predicate and workflow,false,true,business_semantics_hypothesis
phase32c_0056,medium,address,address_select_own_or_engaged,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0057,medium,address,address_write_own,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0058,medium,category,category_select_public,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
phase32c_0059,medium,category,category_write_admin,overlapping_permissive_policies,multiple applicable permissive policies may broaden access through OR semantics,review the combined Boolean authorization result operation by operation,false,true,business_semantics_hypothesis
